,Unnamed: 0,Unnamed: 0.1,instagram_likes,instagram_followers,created_at,title,#cocacola,#coke,#love,a,#drink,#cola,my,i,#me,#instagood,the,#followme,#summer,#like,#red,#name,#coca,with,#instagram,coke,#follow,#friends,#happy,coca,de,#picoftheday,to,#share,cola,#photooftheday,:),and,#my,#food,#tagsforlikes,me,#instadaily,#cool,#instamood,la,#fun,#cute,this,#girl,in,#with,#like4like,#swag,is,of,day_week,hour_day
10,10,10,0.0,54.0,2013-06-14T00:01:55Z,#cocacola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11,11,11,288.0,967.0,2013-06-14T00:01:54Z,"I was never afraid of the everyday life, the habit is not a fate. We can reinvent every day, the luxury and the commonplace, the immoderation and the common. I believe in the passion which develops, to the memory of the feeling...",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0
12,12,12,2.0,12.0,2013-06-14T00:01:54Z,#expense #instamood #milo #fanta #cocacola #sprite #instagood #like4like #likeforlike #likes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0
13,13,13,1.0,83.0,2013-06-14T00:01:53Z,#por#que#no#cocacola#zero@ch14_instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14,14,14,0.0,346.0,2013-06-14T00:01:52Z,Edgar & I sporting winter inspired pajama pants! #socomfy #winter #penuins #polarbears #cocacola maybe? #studious #studying #calculus & #statics #summerschool #collegeprobs,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,15,15,0.0,269.0,2013-06-14T00:01:52Z,"Abastecimiento para una semana, SOLO PARA MI ❤❤❤❤❤❤",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16,16,16,0.0,66.0,2013-06-14T00:01:51Z,Coca-cola para el alma. #cocacola #red #black #coke #yummi #instayolo #lol #love #drink,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17,17,17,0.0,116.0,2013-06-14T00:01:51Z,No puedo decir no a esto #cocacola #oreo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18,18,18,1.0,16.0,2013-06-13T23:58:52Z,#coke #fun #cocacola #promojob #loveit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,23
19,19,19,0.0,84.0,2013-06-13T23:58:51Z,Panorama para dia jueved #Flordecaña #monster #cocacola y luego a #Amazing ;))),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
20,20,20,1.0,19.0,2013-06-13T23:58:50Z,Acompaña un Mmmm... Con un Ahhhh... Cocacola Light #Cocacola #CocacolaLight :),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
21,21,21,0.0,11.0,2013-06-13T23:58:48Z,#ForTheRecord #adarle #cocacola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
22,22,22,0.0,53.0,2013-06-13T23:55:47Z,.. Lanchinho Perfeito esse ... ;3 - #perfect #instalike #instagram #bobs #cocacola ..,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
23,23,23,0.0,338.0,2013-06-13T23:55:46Z,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
24,24,24,0.0,14.0,2013-06-13T23:55:46Z,"Addiction: I have drank this every single day since I was little so yes, I'm very addicted #junephotoadaychallenge #cocacola #addiction",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,23
25,25,25,1.0,176.0,2013-06-13T23:55:45Z,#cocacola #smile #night #goingout #tagsforlikes #instagood,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
26,26,26,1.0,311.0,2013-06-13T23:55:45Z,#tavo #handsome #guy #likes #pick  #frieds #beer #cocacola #meamo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
27,27,27,0.0,16.0,2013-06-13T23:55:44Z,#fun #cocacola #promo #coke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,23
28,28,28,2.0,149.0,2013-06-13T23:55:44Z,❤@aster_21 #cocacola #coke #love #name #amore #kiss #us #like4like #instawow #collage #picofday #popularpic #mix #instagood #heartit,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23
29,29,29,0.0,2.0,2013-06-13T23:55:43Z,Modulo fabricado en acero y policarbonato celular. Especial para #exteriores #expos #ferias #modulo #fanta #refresco #cocacola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
30,30,30,0.0,236.0,2013-06-13T23:55:43Z,#cocacola or #Pepsi!? What you grow up with ??,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
31,31,31,3.0,62.0,2013-06-13T23:55:42Z,divando #amanda #me #cocacola #like #divando #coke #likenafoto #l4l #like4like #followme #follow #instalike #instafollow #epa #boanoite,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23
32,32,32,1.0,201.0,2013-06-13T23:52:54Z,Aaaaannw olha oq a @capricho me mandou junto com a revista desse mes ♡♡♡ #pulseira #cordao #capricho #coke #cocacola #instalike #inlove #l4l #f4f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
33,33,33,17.0,541.0,2013-06-13T23:52:53Z,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
34,34,34,2.0,736.0,2013-06-13T23:52:51Z,☀ #burned #cocacola #lol @datchico954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
35,35,35,2.0,464.0,2013-06-13T23:52:48Z,Oh you know just a little break lol #IceCremeTruck #Yummm #Yummy #HotCheetos #HotCheetosWithCheese #Nachos #Jalapeños #Cheese #Cheesy #Coke #CocaCola #FatGirlProblem #Dessert I miss the ice Crème truck .. Now I finally have one on my block yey about time lol,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
36,36,36,0.0,130.0,2013-06-13T23:52:47Z,Picture of the day: Sugar rushhhh!  #sugar #candy #wonka #cocacola,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,23
37,37,37,1.0,140.0,2013-06-13T23:52:46Z,#cocacola #coke #blue #ch #capricho,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
38,38,38,2.0,221.0,2013-06-13T23:52:45Z,#cocacola#coke#add#joke#lol#kidding#pop#soda#60's#hahs#self#me#pdx#red#lovecoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
39,39,39,0.0,54.0,2013-06-13T23:52:44Z,Tomando algo :3 #cocacola #coke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
40,40,40,27.0,45.0,2013-06-13T23:52:44Z,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
41,41,41,2.0,305.0,2013-06-13T23:52:43Z,valentine's day  @clararbp_ @aguilarthiago @brunok17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
42,42,42,0.0,67.0,2013-06-13T23:49:59Z,Finally! #shareacokewith #sara #cocacola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
43,43,43,1.0,48.0,2013-06-13T23:49:57Z,La dotacion de mi #princess y yo para ver #HombreEnLlamas una de las pelis q mas le gusta #love #movie #popcorn #frenchfries #cocacola,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,23
44,44,44,9.0,48.0,2013-06-13T23:49:55Z,#rihanna #fashion #beautiful #rih #riri #navy #rihannanavy #navyfamily #navylove #shinebrightbitch #shine #love #like #music #sexy #smile @badgalriri @badgalriri @badgalriri #badgirl #girl #instagood #tags #tagsforlikes #woman #rihannadivaperfeita #cocacola <3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,23
45,45,45,0.0,72.0,2013-06-13T23:49:51Z,Rebel Without a Cause. #James #Byron #Dean #CocaCola #Names #Rebel #Without #Cause #Legend,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
46,46,46,2.0,203.0,2013-06-13T23:49:48Z,#cocacola #free #downtown #montreal #love #sogood #fun,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,23
47,47,47,3.0,1495.0,2013-06-13T23:49:45Z,Coca cola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
48,48,48,0.0,162.0,2013-06-13T23:49:42Z,Summer nights. #oldmaid #cocacola #lemonheads #family #swimming #mexicancoke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
49,49,49,2.0,74.0,2013-06-13T23:47:00Z,Sem mais.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
50,50,50,1.0,26.0,2013-06-13T23:46:59Z,#cocacola #share #with #me :),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,23
51,51,51,3.0,265.0,2013-06-13T23:46:52Z,Lack of sleep.... Nah... #lackofsleep #cocacola #atwork #losangeles #gear #hat #goatee #Salvador312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,23
52,52,52,4.0,47.0,2013-06-13T23:46:51Z,"Chillin nite wit real niggaq from the street ya! 
#night#friends#love#chill#chillin#chilling#bed#pyjama#party#cocacola#company#cute#dream",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
53,53,53,4.0,260.0,2013-06-13T23:46:51Z,#cocacola #drink #blonde #girl  #bored #red #top,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,23
54,54,54,0.0,108.0,2013-06-13T23:46:50Z,#rhumandcoke#vodkalemonade#cocacola#lemonade#alcohol#goodshit#ice#goodnight#lime#drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
55,55,55,11.0,1377.0,2013-06-13T23:46:49Z, #cocacola #love #TagsForLikes #photooftheday #me #instamood #cute #igers #picoftheday #girl #guy #beautiful #fashion #instagramers #follow #smile #pretty #followme #friends #hair #swag #photo #life #funny #cool #hot #bored #portrait #baby #girls,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,3,23
56,56,56,3.0,260.0,2013-06-13T23:46:49Z,#cocacola #drink #top #bored #top #new,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
57,57,57,7.0,123.0,2013-06-13T23:46:48Z,"Que agustito, no?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
58,58,58,0.0,173.0,2013-06-13T23:46:48Z,#cocacola #share #love #coke #instalove,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
59,59,59,29.0,514.0,2013-06-13T23:46:48Z,Eu te amo!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
60,60,60,1.0,198.0,2013-06-13T23:46:47Z,Galerinha reunida :D  Amigos do Pré :p  #Saudades  #Amigos  #Friends  #Flocarianos #Lindos #Meus ^^ #Cocacola  #Designer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
61,61,61,1.0,99.0,2013-06-13T23:46:47Z,#cocacola#adoro#me#amarro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
62,62,62,0.0,233.0,2013-06-13T23:46:44Z,Summaa time #cocacola #glass #bottle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
63,63,63,2.0,59.0,2013-06-13T23:43:48Z,#cocacola #leopardo #hermosa #hola #jiji #instabelieber #instachile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
64,64,64,1.0,90.0,2013-06-13T23:43:47Z,#sougorda#edai#amo#batataSTAX#cocacola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
65,65,65,0.0,105.0,2013-06-13T23:43:47Z,Oh yeah I finally found one :-) #myname #cocacola #bottle #niamh,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
66,66,66,0.0,1.0,2013-06-13T23:43:46Z,#cocacola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
67,67,67,1.0,73.0,2013-06-13T23:43:46Z,Un coke hollandais  #cocacola #coke #holland #koningin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
68,68,68,0.0,32.0,2013-06-13T23:43:45Z,Awww yeah. #Summer2013 is finally heeeere and #finalsaredone. #cocacola #summer #sunshine #openforsummer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,23
69,69,69,0.0,197.0,2013-06-13T23:43:45Z,#haha #cocacola #coke #funny,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
70,70,70,19.0,338.0,2013-06-13T23:43:44Z,#cocacola #coca #cola #world #atlanta #georgia #music #trip #2013 #spring #break #springbreak #fun #violin #orchestra #band #cold #cute #funny #followme #like #picture #this #pic #coke #brown #bubbles,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,23
71,71,71,0.0,44.0,2013-06-13T23:43:44Z,#vicio #CocaCola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
72,72,72,0.0,251.0,2013-06-13T23:43:43Z,#CocaCola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
73,73,73,0.0,526.0,2013-06-13T23:43:43Z,"Ma opušteno, ovo je sve dijetalnoo. #Cocacola #chips #chilling#wit#sisters#Angelina#Marija #diet #love #ilikeit #tonight #boring #lovethem",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
74,74,74,2.0,240.0,2013-06-13T23:40:50Z,Delicias de la vida con nicolee #sushi #soGood #exito #cocacola #pty #panama #albrook #mall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,23
75,75,75,2.0,285.0,2013-06-13T23:40:48Z,Szymon...? Seriously? #coke #cocacola #haveacokewith #dublin #shop #funny #names #confused #girl #guy #? #sweet #drinks #soda,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,23
76,76,76,16.0,282.0,2013-06-13T23:40:47Z,My favorite till the end...,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
77,77,77,0.0,240.0,2013-06-13T23:40:47Z,Rude. #cocacola #insulting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
78,78,78,0.0,277.0,2013-06-13T23:40:46Z,#vamos #juntos #colorir #o #brasil #cocacola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
