"X","Unnamed..0","Unnamed..0.1","country","title","zip","instagram_likes","kmeans"
41,41,"41","Brazil","valentine's day  @clararbp_ @aguilarthiago @brunok17","22220-070",2,"1"
42,42,"42",NA,"Finally! #shareacokewith #sara #cocacola",NA,0,"9"
43,43,"43",NA,"La dotacion de mi #princess y yo para ver #HombreEnLlamas una de las pelis q mas le gusta #love #movie #popcorn #frenchfries #cocacola",NA,1,"9"
44,44,"44",NA,"#rihanna #fashion #beautiful #rih #riri #navy #rihannanavy #navyfamily #navylove #shinebrightbitch #shine #love #like #music #sexy #smile @badgalriri @badgalriri @badgalriri #badgirl #girl #instagood #tags #tagsforlikes #woman #rihannadivaperfeita #cocacola <3",NA,9,"9"
45,45,"45",NA,"Rebel Without a Cause. #James #Byron #Dean #CocaCola #Names #Rebel #Without #Cause #Legend",NA,0,"9"
46,46,"46",NA,"#cocacola #free #downtown #montreal #love #sogood #fun",NA,2,"1"
47,47,"47",NA,"Coca cola",NA,3,"7"
48,48,"48",NA,"Summer nights. #oldmaid #cocacola #lemonheads #family #swimming #mexicancoke",NA,0,"1"
49,49,"49",NA,"Sem mais.",NA,2,"9"
50,50,"50",NA,"#cocacola #share #with #me :)",NA,1,"9"
51,51,"51",NA,"Lack of sleep.... Nah... #lackofsleep #cocacola #atwork #losangeles #gear #hat #goatee #Salvador312",NA,3,"1"
52,52,"52","France","Chillin nite wit real niggaq from the street ya! 
#night#friends#love#chill#chillin#chilling#bed#pyjama#party#cocacola#company#cute#dream","92000",4,"9"
53,53,"53",NA,"#cocacola #drink #blonde #girl  #bored #red #top",NA,4,"1"
54,54,"54",NA,"#rhumandcoke#vodkalemonade#cocacola#lemonade#alcohol#goodshit#ice#goodnight#lime#drink",NA,0,"9"
55,55,"55",NA," #cocacola #love #TagsForLikes #photooftheday #me #instamood #cute #igers #picoftheday #girl #guy #beautiful #fashion #instagramers #follow #smile #pretty #followme #friends #hair #swag #photo #life #funny #cool #hot #bored #portrait #baby #girls",NA,11,"7"
56,56,"56",NA,"#cocacola #drink #top #bored #top #new",NA,3,"1"
57,57,"57",NA,"Que agustito, no?",NA,7,"9"
58,58,"58",NA,"#cocacola #share #love #coke #instalove",NA,0,"1"
59,59,"59",NA,"Eu te amo!",NA,29,"10"
60,60,"60","Brazil","Galerinha reunida :D  Amigos do Pré :p  #Saudades  #Amigos  #Friends  #Flocarianos #Lindos #Meus ^^ #Cocacola  #Designer","59075-000",1,"1"
61,61,"61","Brazil","#cocacola#adoro#me#amarro","02179-000",1,"9"
62,62,"62",NA,"Summaa time #cocacola #glass #bottle",NA,0,"1"
63,63,"63",NA,"#cocacola #leopardo #hermosa #hola #jiji #instabelieber #instachile",NA,2,"9"
64,64,"64",NA,"#sougorda#edai#amo#batataSTAX#cocacola",NA,1,"9"
65,65,"65",NA,"Oh yeah I finally found one :-) #myname #cocacola #bottle #niamh",NA,0,"9"
66,66,"66",NA,"#cocacola",NA,0,"9"
67,67,"67",NA,"Un coke hollandais  #cocacola #coke #holland #koningin",NA,1,"9"
68,68,"68",NA,"Awww yeah. #Summer2013 is finally heeeere and #finalsaredone. #cocacola #summer #sunshine #openforsummer",NA,0,"9"
69,69,"69",NA,"#haha #cocacola #coke #funny",NA,0,"1"
70,70,"70",NA,"#cocacola #coca #cola #world #atlanta #georgia #music #trip #2013 #spring #break #springbreak #fun #violin #orchestra #band #cold #cute #funny #followme #like #picture #this #pic #coke #brown #bubbles",NA,19,"1"
71,71,"71",NA,"#vicio #CocaCola",NA,0,"9"
72,72,"72","Mexico","#CocaCola","55710",0,"1"
73,73,"73",NA,"Ma opušteno, ovo je sve dijetalnoo. #Cocacola #chips #chilling#wit#sisters#Angelina#Marija #diet #love #ilikeit #tonight #boring #lovethem",NA,0,"10"
74,74,"74",NA,"Delicias de la vida con nicolee #sushi #soGood #exito #cocacola #pty #panama #albrook #mall",NA,2,"1"
75,75,"75",NA,"Szymon...? Seriously? #coke #cocacola #haveacokewith #dublin #shop #funny #names #confused #girl #guy #? #sweet #drinks #soda",NA,2,"1"
76,76,"76","Uzbekistan","My favorite till the end...",NA,16,"1"
77,77,"77",NA,"Rude. #cocacola #insulting",NA,0,"1"
78,78,"78",NA,"#vamos #juntos #colorir #o #brasil #cocacola",NA,0,"1"
79,79,"79",NA,"#cocacola#destapalafelicidad#terraza#noche#calor#veranito#vacaciones#insta#noche.",NA,1,"9"
80,80,"80",NA,"Morram de inveja u.u #pizza #chocolate #chicken #cocacola #yummy #NewPoint #instafood  #gordice",NA,0,"1"
81,81,"81",NA,"#Jack & #Cola #The #Legendary #Mix #CocaCola #JackDaniels #Jennessee #Wiskey #BestFriend #Like #It #Cadeautje #Van @wichiett  #ILOVEEYOUU♥ #Instagood #Instadetail #Instamood #Drank",NA,8,"1"
82,82,"82",NA,"#yokitos #gigantesco #cocacola #novela #minha #nada #mole #vida #feriado #adoooooro #haha",NA,0,"9"
83,83,"83",NA,"The highlight of my day: Mexican Coke. #lunchbreak #cocacola #mexicancoke #delicious",NA,0,"9"
84,84,"84","United States","#cocacola@#coke #love #italy","46143",0,"9"
85,85,"85",NA,"#me#7#followme#followback#beautifu#girl#girls#smile#infinity#love#cool#fashon#smart#italian#boy#friends#swag#hot#kisskiss#bestfriend#cocacola#ilduro",NA,1,"1"
86,86,"86",NA,"Lo mas hermoso de esta tierra. #Mirador #Skating #Skate #CocaCola",NA,5,"9"
87,87,"87",NA,"I should not have walked around the store the first 5 minutes of my break #foodoverload #beefjerky #reese's #blackandwhitecookie #cocacola #savingsomeofthisfortomorrow #breaktime #goodbooktodistractme",NA,0,"9"
88,88,"88","Brazil","Presente do Dia dos Namorados, perfeito :D, o livro ""Fragmentos"" MMonroe(textos, poemas  e pensamentos escritos pela mesma, apaixonante) e um tênis Coca Cola, fodástico, o morzão caprichou <3 !!",NA,15,"10"
89,89,"89",NA,"#coke #cocacola #funny #LOL #evolution #bottles",NA,1,"1"
90,90,"90",NA,"#followforfollow#follow4follow#likeforlike#like4like#cocacola#cherry#red#tastegood",NA,1,"9"
91,91,"91",NA,"Por hay..",NA,71,"7"
92,92,"92","Venezuela","#GaitasElAngel @gaitaselangel13 #contigo#like#cocacola#quieromitermo#likeforlike#cool#termo#help#instacool#gaitas",NA,7,"9"
93,93,"93","United States","Lack of sleep....... Maybe.. #lackofsleep #selfie #cocacola #hat #gear #cap #atwork #goatee","90007",0,"1"
94,94,"94",NA,"",NA,83,"7"
95,95,"95",NA,"Sígueme en Twitter :
https://twitter.com/JuanCana_",NA,42,"7"
96,96,"96",NA,NA,NA,74,"7"
97,97,"97","Brazil","#vamoscoloriroBrasil #CocaCola #Coke #zédobocha #soprarelaxar #suavenanave","17230-000",1,"1"
98,98,"98","Russia","#cocacola #sprite #sambuca #old #alco #spb","188355",20,"9"
99,99,"99",NA,"My baby and.mother happy bday mom love you!  #cocacola #squirt #coronas #anthonyallinlovewithice",NA,1,"1"
100,100,"100","Slovenia","#jackdaniels® #bbq #party at #križanke with ma #boy #brother and @sasabernetic.  #goodoldtimes #grill #steak #goodfood #drinks #wishey #friends #cheers  #livelife #loveit #instafoto #barbecue #cocacola #fun","1000",6,"10"
101,101,"101",NA,"#colorful #lights #cocacola #lindo #love #food #beautiful #galaxysiii #instapic #instafood #sweet #style #lights #like #nice #vicio",NA,7,"9"
102,102,"102",NA,"#lipstick #gaseosa #good #fanta #cocacola #sprite #bargs",NA,0,"9"
103,103,"103","Denmark","#share#a#coke#love#found#a#cocacola#with#my#boyfriends#name#together#with#my#friends#bf#love#soda#red#Dennis#cola#bottle#tag4likes#friend#relationship#freertime#break#food ;-)","7430",4,"9"
104,104,"104",NA,"#bong#pipe#hooka#420#cocacola#followback#friends#music#wizkhalifa",NA,0,"9"
105,105,"105",NA,"#weed#420#cocacola#bong#pipe#hooka#followback #wizkhalifa#",NA,0,"9"
106,106,"106",NA,"#Dinner #Restaurant #Vips #Burger #Patatoes #CheeseBurger #Heinz #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice",NA,3,"1"
107,107,"107",NA,"I'm just so cool that I'm drinking coke out of a flounder. #weird #lol #me #selfie #fish #l4l #like4like #likeforlike #cute #cocacola",NA,8,"1"
108,108,"108",NA,"#GYM  #Smile #Body #Look #coke #cocacola #phone #Happy #Hello #Boy #Photoftheday #picoftheday #StayStrong #Warrior #WeCantStop #like #Likeforlike #fallow #fallowback",NA,3,"9"
109,109,"109",NA,"Me sinto feliz agora. #CocaCola",NA,0,"9"
110,110,"110",NA,"#atlanta #museum #cocacola #day #me #bro #bellos #funny  #summer",NA,9,"1"
111,111,"111","Brazil","#cocacola #vicio","64025-520",0,"9"
112,112,"112",NA,"I'm not a Coca Cola fan but this made me smile",NA,0,"1"
113,113,"113","Russia","#cocacola #coca-cola #russia #summer #лето #утро #роса",NA,4,"9"
114,114,"114",NA,"#pisstake #forthecrack #xD I'm beautiful haha! XD #jokes #happy #hair #cocacola #uk",NA,0,"9"
115,115,"115",NA,"looook at what my mommy got ! my uncle will foreverrr live on (; I love and miss you #uncledavid #cocacola # r.i.p",NA,1,"10"
116,116,"116",NA,"Nao quero nem imaginar como é viver sem você!",NA,16,"10"
117,117,"117",NA,"It's been too long, my love. #coke #cocacola",NA,2,"10"
118,118,"118",NA,"#My #Bob #Esponja #Glass #Super #Cute #I #Love #It #Yellow #CocaCola #Best #Thing #I #Bought #Ever #Nocilla #Chocolate",NA,5,"9"
119,119,"119","Brazil","Sozinho em casa da nisso!

#lanche
#batatafrita
#cocacola
#adoroo","12061-600",0,"1"
120,120,"120","United States","#comparison #solo #shotcup #cocacola ft. @notneeko & @shebsthompson","89144",2,"7"
121,121,"121",NA,"Conseguiii coleção coca-cola!!! #brasil #brasilian #instragam #instago #now #instanow #cocacola #verde #azul #amarelo #three #coleção #fanática #amo #instabrazil #life",NA,1,"9"
122,122,"122",NA,"#much #love #fanta #cocacola #amorplatonik #latita #rojo #naranja",NA,0,"1"
123,123,"123","Brazil","Hmm #pizza #cocacola #delicias","06210-130",0,"1"
124,124,"124",NA,"#inlove #coke #shoes #cocacola #look #l4l #like4like #like #likeme #young #likeforlike #follows #love #followforfollow #cute#me #nigth #nice #model #teen #instagold #instabeauty #beautiful #brazilian #brazil  #pleasefollow #sexy",NA,12,"10"
125,125,"125","Brazil","To ficando muito viciado nisso gzuuis kk #mistoquente #cocacola #behappy","09910-530",0,"10"
126,126,"126",NA,"Finally found my name @CocaCola #CocaCola http://t.co/8ZFFHhRuCT",NA,NA,NA
127,127,"127",NA,"{cupcake date from today} #latergram #cupcake #yum #chocolatemilkshake #hostess #sweet #dessert #chocolate #mexican #cocacola #mmm #good #date",NA,0,"9"
128,128,"128",NA,"#pizza #cocacola #delicias #gordice :))",NA,0,"9"
129,129,"129",NA,"#CocaCola Finally found my Name !!!!",NA,0,"9"
130,130,"130","United States","drinking some good ass pop #cocacola","46544",0,"1"
131,131,"131",NA,"A coke never tasted soo good! #mybuddy #thirsty #cocacola",NA,0,"9"
132,132,"132",NA,"#fifa13 sponsored by #cocacola sike i wish . My sick ass #trophy #1stplace #sony #ps3  and today i finally beat @abrrrrrraham . He could call me #daddy now. #awesome #happy",NA,0,"1"
133,133,"133",NA,"#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice",NA,2,"1"
134,134,"134",NA,"Finally found a #cocacola #with #myname ^.^ #happy in the #moment",NA,1,"1"
135,135,"135",NA,"#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice",NA,6,"1"
136,136,"136","Hungary","YOLOYOLOYOLOYOLO #yolo #partyfaces #cocacola #instagood #me #tbt #statigram #throwbackthursday #photooftheday #nice #follow #happy #all_shots #instamood #picoftheday #instadaily #go #instago #igers #jj_forum #instagramhub #night @merodrew1123","1151",6,"10"
137,137,"137",NA,"#never #learned #to #drink #cocacola #lemonade #inside #happy #girl #smile #brunette #browneyes #sweater #love #boardingschool #instamood",NA,6,"1"
138,138,"138",NA,"La noche promete... #night #studing #iphone #instagram #instaphoto #don't #sleep #cocacola #redbull #read #book",NA,3,"9"
139,139,"139",NA,"enjoy #cocacola #ad #vintage",NA,0,"9"
140,140,"140",NA,"Long time no post I know ); I miss y'all </3 #sorry #back #cocacola #haribo",NA,0,"9"
141,141,"141",NA,"#Breakfast #Restaurant #Vips #Pancakes #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice",NA,5,"1"
142,142,"142",NA,"#Picanha#paiero#skol#cocacola#garagem#amigos",NA,2,"9"
143,143,"143",NA,"#feiradalua #chopp #germania #cocacola #yakissoba #familia",NA,0,"9"
144,144,"144","Spain","#cildomeireles #cocacola","28007",0,"9"
145,145,"145","Spain",NA,"39011",1,"9"
146,146,"146",NA,"#cocacola#drink#best#loveit",NA,1,"9"
147,147,"147","United States","Drinking a cold bottle of #CocaCola for first time since beginning of the year. Been mainly drinking water and juice. #travel #airport #flying #jesus #passion #holy #spirit #youthcamp #refreshing","32218",5,"1"
148,148,"148",NA,"#cocacola #ligth",NA,0,"10"
149,149,"149",NA,"#friends #walks #tired #hotday #sun #stirfry #greg #cake #cocacola #Mirrors #trampoline",NA,3,"2"
150,150,"150",NA,"mais uma :D agora só falta a azul *-* hahaha #cocacola #amarela #copa",NA,0,"9"
151,151,"151","Spain","Party hard! #party #music #dance #drinks #redbull #vodka #cola #coca #cocacola #coke #joke #fun #love #night #clubbing","28014",3,"9"
152,152,"152",NA,"#Snack #IceCream #Caramel #Giangrossi #Coke #CocaCola #Mallorca #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice",NA,2,"1"
153,153,"153","Brazil","#cocacola #me #engorda #sou #gorda ","18055-183",0,"1"
154,154,"154",NA,"Fazendo gordiceee master com ele @alanzinhuu #ht2 #cocacola #batatas #gordice #delicia #namorado",NA,0,"9"
155,155,"155",NA,"Olha o que eu achei @jercivania ! #JK #CocaCola com #Sorvete ! http://t.co/uJvFST4wUv",NA,NA,NA
156,156,"156",NA,"Eu juro que eu nao ia comprar nada, mas, nao resisti rs Depois do trabalho, uma passada no shopping *-* #blusa #frio #inverno #veminverno #cocacola #greve #de #trem #da #nisso kkkkkk",NA,0,"1"
157,157,"157",NA,"Lejos la mejor de todas #cocacola #familia #losreyes",NA,0,"9"
158,158,"158",NA,"#ammore #cocacola #coke #love",NA,1,"9"
159,159,"159",NA,"Cola Splash",NA,8,"1"
160,160,"160",NA,"#awesome #nearly #bestnameever #coke #cocacola #shareacokewithfriends #shareacokewithbeth #hashtag #summerdrinks #dreinkup #midnightcruise",NA,0,"1"
161,161,"161",NA,"Hahaha  #iphone #itagalot #instagood #instagram #instamood #iphonesia #iphoneonly #you #picoftheday #photooftheday #bestpicoftheday #l4l #like #like #love #nice #cute #cool #true #tweegram #reality #bored #funny #follow #followme #cocacola #mud",NA,6,"7"
162,162,"162",NA,"Instagram has such badass effects",NA,4,"9"
163,163,"163",NA,"#cocacola #love #instagood #me #cute #tbt #eyes #statigram #throwbackthursday #photooftheday #nice #follow #beautiful #happy #all_shots #harrystyles #girl #instamood #picoftheday #instadaily #instago #igers #jj_forum #like #followme #fashion #fun #smile #bestoftheday #iphonesia",NA,17,"10"
164,164,"164",NA,"#friends#cocacola#superstar#chill",NA,1,"1"
165,165,"165",NA,"Ta Facil não ! #Fome #bigtasty #Fritas #CocaCola #Sozinho",NA,2,"1"
166,166,"166",NA,"Yakisoba, coca cola e filminho. Ótima maneira de se encerrar uma quinta feira! ;)",NA,0,"9"
167,167,"167",NA,"finding a coke bottle with my name on #finally hehe thanks #cocacola. http://t.co/5HeliRQ2Ko",NA,NA,NA
168,168,"168",NA,"#party #redlabel #whisky #cocacola #play",NA,0,"9"
169,169,"169",NA,NA,NA,6,"9"
170,170,"170",NA,"#cinema #fastandfurious #6 #girl #me #cocacola #cute #face #smile #fashion #good #lovely #picture #saturday #night",NA,8,"1"
171,171,"171",NA,"#delicious #food #hamburguer #frenchfries #cocacola #fat #funny #fun #follow4follow #followme #good #goodnight #happy #happines #instalike #instacool #insafollow #instagood #likeforlike #likeme #love #my #night #picoftheday #paradise #pic4you #photo #s2",NA,9,"9"
172,172,"172",NA,"A favorite corner of my room! #vintage #coke #cocacola #books #oldbooks #posters #shelves #table #lamp #nicknacks #room #messy",NA,1,"7"
173,173,"173","United States","#CocaCola #thirsty free drink. #instacola #aluminum #isnapdaily #iphone4s #iphonography","30344",0,"9"
174,174,"174",NA,"My day >>>>> #drinking #polarpop #cocacola #admiralnelson #trampoline #listeningtopandora #ohyeah",NA,0,"9"
175,175,"175",NA,"ويحلى السهر  #CocaCola #cherry #Yummy #Take_break_myself",NA,0,"9"
176,176,"176",NA,"Coca reparadora en el trabajo!! "" #cocacola #refresco #cola #sed #telcel #telceleslared #trabajo #comida #food #happy #love #job",NA,2,"1"
177,177,"177",NA,"taking a swim all by myself  #summer2k13 #swimming #relaxing #hotweather #arizonaheat #cocacola #topnot",NA,11,"10"
178,178,"178","Brazil","#cocacola#night#goodnigth#happy#bye.","72215-011",1,"9"
179,179,"179","Italy","Spuntini di  #cocacola #spuntinodimezzanotte #sensiblerie #midnightsnack #brufoli","20095",0,"1"
180,180,"180",NA,"Love ?? #instahood #instacollage #instadaily #instago #instalike #instaphoto #turk #turkish #almanya #followme #frankfurt #frankfurtammain #ffm 
#girl #throwback #photooftheday #tagsforlikes #tbt 
#cocacola #cola #love #summer #dinner",NA,4,"7"
181,181,"181",NA,"#shareacokewith #coke #cocacola #veera #starplus #veerkiardasveera #LOL #instamood",NA,0,"1"
182,182,"182","Brazil","Tiupar, social. 
#social #party #coke #cocacola #love #photooftheday #look #like #iphoneonly #instagood #instago #colorful #style #swag","25036-390",3,"9"
183,183,"183",NA,"#fikk#gave#av#bjørnar#kjekken#cocacola#agderposten",NA,0,"1"
184,184,"184",NA,"#i #get #this #bottle #of #CocaCola #from #my #handsome #schoolmate @aljazjager #before #movie #cinema #HelloKitty #haha #followme #mačka #cat #meow #mjaw",NA,1,"9"
185,185,"185","Italy","#cocacola #cocofashionblogger","20145",0,"7"
186,186,"186",NA,"Coca cola •open happiness• #cantwink #retarded #happiness #cocacola",NA,22,"5"
187,187,"187","United Kingdom","Not sure if this is a name or another brand of coke? #stoneczko #cola #cocacola  #wtf #confused","CF37 1",0,"9"
188,188,"188",NA,"Cola... #cocacola",NA,1,"9"
189,189,"189",NA,"#cocacola #and #some #american #candy",NA,20,"9"
190,190,"190","United Kingdom","Earlier I found my mum, nan and aunties name all next to each other on the shelf! #spooky #fate #cocacola #shareacoke #family","DN31 3",0,"9"
191,191,"191",NA,"Share a coke with a Friend （＾∇＾）",NA,2,"9"
192,192,"192",NA,"Miam",NA,2,"10"
193,193,"193",NA,"#HDR #effect #flowers #dog #picture #cocacola #decoration #bottles",NA,1,"9"
194,194,"194","Ukraine","#jajda #zamuuchila #coffe #coldcoffe#cocktail #cocacola #burn #energizer #coldlatte #latte #drink #summer #sun #air #green #yalta #alushta #energydrink",NA,1,"9"
195,195,"195","Italy","Pane arabo... #questesonogioie #cocacola #panearabo #crudo #pomodori #insalata #pizza #casamatta #firenze #instafirenze #instaitalia #instapizza #instaeat #igersfirenze @igers_firenze @igersfirenze #instatoscana #instalike","50136",3,"10"
196,196,"196",NA,"#igscout #_wg #instagramer #instaaaaah #insta_crew #instapicture #instamillion #instagold #photolocker #instago #instagroove #ignation #instahub #original #golook #gang_family #insta_underdog #tagstagramers #all_shots #instapic #igaddict #centralfeed #tagsta #igs#cocacola",NA,1,"9"
197,197,"197",NA,"#amoremiogrande #bff #sempreinsieme #belle #come #il #sole #hihi #pranzetto #met #sunny #day #summer #sun #cocacola #zero #ghiaccioelimone #top #beautiful #day #ciao #atutti #belliebrutti",NA,4,"10"
198,198,"198",NA,"#cocacola#голубые #глаза #эфекты #радость",NA,3,"9"
199,199,"199","Norway","So damn hot","2212",52,"10"
200,200,"200",NA,"On ignore celui qui tient à nous mais on tient à celui qui nous ignore. On aime celui qui nous blesse, et on blesse celui qui nous aime. #BestFriend #Smile #Sun",NA,104,"7"
201,201,"201",NA,"#CocaCola #Coke #Coca #arabic #arab #bottle #CASABLANCA #Marrakesh #london #usa #nyc #uae #dubai #munich #stuttgart #roma #milano #red Le plaisir de descendre une bouteille le soir ;)",NA,8,"9"
202,202,"202",NA,"They missin out..... #wtffunfacts #cocacola #northkorea #cuba #soda #facts #random #interesting #foodforthought #educateyourself #goodtoknow #countries #hilarious #comical #hashtagqueen #followme #learnsomethingneweveryday #funfacts #crazy #cantbelieveit",NA,1,"2"
203,203,"203",NA,"Uhu #cocacola #viber",NA,0,"9"
204,204,"204",NA,"I'm so board #turbos #cocacola #relax",NA,0,"1"
205,205,"205","Canada","Student council end-of-the-year party #mind #over #body #coke #cocacola","L5W 1L9",0,"9"
206,206,"206","United Kingdom","Can't finish all the coke, always have a bit left, not on purpose! #cocacola","E14 2",0,"9"
207,207,"207",NA,"#cocacola #coca #cola #limited #edition #personalizzata #personalized #dj #condividi #share #simon #ricci",NA,0,"9"
208,208,"208","United States","♡ . “Power Trip” . ♡ ♥☀ . ","31820",60,"2"
209,209,"209",NA,"Never thought I'd see my name!! #coke #stacey #cocacola #thirsty",NA,0,"1"
210,210,"210","Sweden","10:00 imorgon öppnar portarna till Vattenlandet Sunne. Varmt Välkomna","663 41",10,"1"
211,211,"211",NA,"Que tal??? #Beijinho #Brigadeiro #CocaCola #Night",NA,0,"9"
212,212,"212",NA,"@omniarem #coca #cola #cocacola #amico #per #sempre #forever #4ever",NA,0,"9"
213,213,"213",NA,"forgot about the 2 coca cola pens and a Micky mouse postcard #cocacola #pens",NA,0,"9"
214,214,"214",NA,"#vasovaca #mumu #capri #ñami #cocacola #olakase",NA,0,"9"
215,215,"215",NA,"Nunca dejen una bebida en lata mucho tiempo en el congelador #Sólomepasaamí #fail #epicfail #error #bebida #nordic #lata #iceberg #ice #crush #sprite #cocacola #soda #cueck",NA,0,"1"
216,216,"216",NA,"#McDonalds #CocaCola #Burger #FrenchFries #instacool #like",NA,1,"9"
217,217,"217","Hungary","Jucika","1143",19,"7"
218,218,"218",NA,"tehe.. ❤ #share #a #coke #with #prinsessa #princess #l4l #cocacola",NA,1,"9"
